Restaurant_ID,Restaurant_Name,City,ZipCode,Cuisine_Type,Rating,Description,PHONE_NUMBER,DISCOUNT
1,Tandoori Treats,Gurgaon,226243,North Indian,4.4,Cozy atmosphere,001-001-0001,15
2,Andhra Aromas,Gurgaon,314446,Kashmiri,4.7,Family-friendly,002-002-0002,10
3,Samosa Street,Gurgaon,265219,Kashmiri,4.3,Family-friendly,003-003-0003,20
4,Tandoori Treats,Gurgaon,956022,Kashmiri,3.7,Family-friendly,004-004-0004,19
5,Kashmiri Kitchen,Godhra,176604,South Indian,3.9,Great views,005-005-0005,11
6,Chaat Corner,Godhra,783857,South Indian,4.9,Great views,006-006-0006,15
7,Taste of India,Godhra,476436,North Indian,3.2,Cozy atmosphere,007-007-0007,20
8,Curry House,Godhra,507659,Kashmiri,4.1,Family-friendly,008-008-0008,10
9,Namaste Kitchen,Khanna,306616,Punjabi,3.2,Authentic cuisine,009-009-0009,14
10,Royal Tandoor,Khanna,169912,Kashmiri,4.2,Family-friendly,010-010-0010,12
11,Taste of India,Khanna,444290,South Indian,3.4,Great views,011-011-0011,20
12,Dosa Delights,Khanna,155634,Punjabi,4.7,Authentic cuisine,012-012-0012,14
13,Namaste Kitchen,Tumakuru,773489,North Indian,3.8,Cozy atmosphere,013-013-0013,14
14,Royal Tandoor,Tumakuru,369394,North Indian,3.2,Cozy atmosphere,014-014-0014,10
15,Biryani Bliss,Tumakuru,907815,Kashmiri,3.2,Family-friendly,015-015-0015,19
16,Tandoori Treats,Tumakuru,423723,North Indian,4.6,Cozy atmosphere,016-016-0016,13
17,Punjab Spice,Ratlam,687890,Kashmiri,4.1,Family-friendly,017-017-0017,11
18,Samosa Street,Ratlam,703939,North Indian,4.7,Cozy atmosphere,018-018-0018,18
19,Kashmiri Kitchen,Ratlam,337076,South Indian,3.3,Great views,019-019-0019,13
20,Spice Palace,Ratlam,276124,North Indian,4.8,Cozy atmosphere,020-020-0020,16
21,Samosa Street,Mahe,894511,Kashmiri,4.3,Family-friendly,021-021-0021,12
22,Namaste Kitchen,Mahe,728557,Punjabi,4.7,Authentic cuisine,022-022-0022,13
23,Kashmiri Kitchen,Mahe,348594,North Indian,3.3,Cozy atmosphere,023-023-0023,17
24,Flavors of India,Mahe,781382,North Indian,3.0,Cozy atmosphere,024-024-0024,13
25,Uttar Pradesh Delights,Malout,418715,Kashmiri,3.1,Family-friendly,025-025-0025,10
26,Uttar Pradesh Delights,Malout,106401,Kashmiri,4.1,Family-friendly,026-026-0026,13
27,Biryani Bliss,Malout,337720,Kashmiri,3.9,Family-friendly,027-027-0027,18
28,Rajasthani Ruchira,Malout,946429,Punjabi,4.5,Authentic cuisine,028-028-0028,13
29,Dosa Delights,Kasaragod,297173,Punjabi,4.3,Authentic cuisine,029-029-0029,20
30,Rajasthani Ruchira,Kasaragod,751864,Kashmiri,3.5,Family-friendly,030-030-0030,10
31,Rajasthani Ruchira,Kasaragod,390625,Kashmiri,4.8,Family-friendly,031-031-0031,14
32,Chaat Corner,Kasaragod,128865,Kashmiri,3.3,Family-friendly,032-032-0032,18
33,Rajasthani Ruchira,Shiroda,257258,North Indian,4.7,Cozy atmosphere,033-033-0033,14
34,Andhra Aromas,Shiroda,683117,South Indian,4.2,Great views,034-034-0034,14
35,Kashmiri Kitchen,Shiroda,490543,North Indian,3.0,Cozy atmosphere,035-035-0035,19
36,Rajasthani Ruchira,Shiroda,452517,North Indian,3.9,Cozy atmosphere,036-036-0036,19
37,Kashmiri Kitchen,Mount Abu,237640,Kashmiri,4.3,Family-friendly,037-037-0037,20
38,Royal Tandoor,Mount Abu,713746,Punjabi,3.1,Authentic cuisine,038-038-0038,16
39,Namaste Kitchen,Mount Abu,780666,South Indian,4.6,Great views,039-039-0039,17
40,Spice Palace,Mount Abu,886941,North Indian,4.1,Cozy atmosphere,040-040-0040,20
41,Tandoori Treats,Jiribam,417627,North Indian,3.2,Cozy atmosphere,041-041-0041,14
42,Uttar Pradesh Delights,Jiribam,906698,South Indian,4.6,Great views,042-042-0042,11
43,Royal Tandoor,Jiribam,484398,North Indian,3.4,Cozy atmosphere,043-043-0043,12
44,Tandoori Treats,Jiribam,808616,Kashmiri,3.6,Family-friendly,044-044-0044,20
45,Curry House,Bokaro,339784,Kashmiri,4.7,Family-friendly,045-045-0045,19
46,Taste of India,Bokaro,611044,South Indian,5.0,Great views,046-046-0046,16
47,Dosa Delights,Bokaro,860624,South Indian,3.8,Great views,047-047-0047,10
48,Chaat Corner,Bokaro,333875,South Indian,4.3,Great views,048-048-0048,17
49,Taste of India,Rajnandgaon,689102,South Indian,3.4,Great views,049-049-0049,18
50,Biryani Bliss,Rajnandgaon,490593,Kashmiri,4.1,Family-friendly,050-050-0050,13
51,Namaste Kitchen,Rajnandgaon,643092,Punjabi,3.2,Authentic cuisine,051-051-0051,19
52,Spice Palace,Rajnandgaon,986938,Kashmiri,4.7,Family-friendly,052-052-0052,17
53,Uttar Pradesh Delights,Rajkot,898380,North Indian,4.9,Cozy atmosphere,053-053-0053,18
